Country,Region,Cause,year,month,fires_count,burned_area_ha,temperature_c,humidity_percent,wind_speed_kmh
Australia,New South Wales,Lightning,1915,5,271,86537,38,39,15
Australia,Victoria,Unknown,1915,10,270,85743,48,45,11
Portugal,Lisbon,Deforestation,1915,6,405,91174,15,16,5
Portugal,Porto,Climate Change,1915,6,401,30925,36,8,20
Italy,Sicily,Lightning,1915,6,16,21684,48,10,9
Italy,Sardinia,Unknown,1915,9,311,65052,23,6,9
Russia,Siberia,Climate Change,1915,6,143,76511,24,89,9
Russia,Far East,Lightning,1915,8,481,10592,35,90,22
Canada,British Columbia,Unknown,1915,8,310,74305,38,91,8
Canada,Alberta,Climate Change,1915,5,133,46601,36,48,63
France,Corsica,Deforestation,1915,6,394,83700,38,55,11
France,Provence,Climate Change,1915,9,252,16553,38,37,60
China,Yunnan,Human,1915,6,444,2879,46,80,49
China,Sichuan,Human,1915,6,287,54957,46,30,26
India,Madhya Pradesh,Human,1915,7,283,99141,37,35,65
India,Assam,Lightning,1915,5,217,22885,47,88,36
Turkey,Mugla,Lightning,1916,7,374,23648,38,76,31
Turkey,Antalya,Unknown,1916,8,313,31725,25,70,59
Turkey,Izmir,Climate Change,1916,6,168,99346,39,72,43
Spain,Catalonia,Deforestation,1916,7,214,95048,37,58,66
Spain,Andalusia,Climate Change,1916,8,284,33413,22,22,58
USA,California,Climate Change,1916,9,414,87553,33,33,4
USA,Texas,Lightning,1916,6,108,60382,26,6,29
USA,Oregon,Unknown,1916,6,81,47688,16,11,27
Brazil,Amazonas,Unknown,1916,6,92,13615,23,36,16
Brazil,Mato Grosso,Deforestation,1916,9,401,5736,24,56,42
Greece,Athens,Lightning,1916,9,370,754,21,44,29
Greece,Crete,Unknown,1916,7,259,87282,35,74,66
Australia,New South Wales,Climate Change,1916,8,15,61565,37,89,41
Australia,Victoria,Climate Change,1916,9,155,35550,18,84,32
Portugal,Lisbon,Unknown,1916,9,366,32252,26,94,10
Portugal,Porto,Unknown,1916,8,329,93209,42,60,59
Italy,Sicily,Unknown,1916,10,79,42125,47,75,57
Italy,Sardinia,Deforestation,1916,5,204,85192,24,47,16
Russia,Siberia,Climate Change,1916,10,403,55144,33,58,52
Russia,Far East,Lightning,1916,6,400,26727,30,40,26
Canada,British Columbia,Climate Change,1916,8,102,91655,17,13,62
Canada,Alberta,Human,1916,9,150,5729,48,82,5
France,Corsica,Climate Change,1916,9,429,56674,29,32,43
France,Provence,Lightning,1916,8,120,11432,15,43,18
China,Yunnan,Deforestation,1916,7,351,5051,40,53,63
China,Sichuan,Unknown,1916,10,411,99577,23,72,3
India,Madhya Pradesh,Deforestation,1916,5,476,69451,48,59,50
India,Assam,Human,1916,8,478,36019,27,19,28
Turkey,Mugla,Unknown,1917,8,468,46115,44,40,68
Turkey,Antalya,Lightning,1917,10,373,7097,26,59,57
Turkey,Izmir,Lightning,1917,8,355,89231,37,57,24
Spain,Catalonia,Climate Change,1917,8,20,49416,29,21,38
Spain,Andalusia,Climate Change,1917,9,407,8705,32,82,63
USA,California,Unknown,1917,8,360,79415,33,48,8
USA,Texas,Unknown,1917,5,432,62680,48,70,56
USA,Oregon,Human,1917,6,484,4237,27,73,11
Brazil,Amazonas,Unknown,1917,6,362,73790,35,12,66
Brazil,Mato Grosso,Climate Change,1917,8,373,68785,44,89,50
Greece,Athens,Lightning,1917,5,149,45224,45,56,62
Greece,Crete,Deforestation,1917,10,175,30370,47,17,63
Australia,New South Wales,Unknown,1917,9,47,86036,24,10,58
Australia,Victoria,Deforestation,1917,5,75,4125,35,84,57
Portugal,Lisbon,Unknown,1917,10,475,3543,39,32,6
Portugal,Porto,Human,1917,9,22,79890,43,23,66
Italy,Sicily,Climate Change,1917,9,391,19981,49,44,68
Italy,Sardinia,Climate Change,1917,5,131,99401,34,56,45
Russia,Siberia,Deforestation,1917,9,358,24602,27,91,67
Russia,Far East,Lightning,1917,7,215,74331,34,77,18
Canada,British Columbia,Unknown,1917,7,435,90469,33,21,40
Canada,Alberta,Deforestation,1917,6,377,9049,21,85,40
France,Corsica,Unknown,1917,8,428,12816,39,73,31
France,Provence,Climate Change,1917,8,200,19259,23,72,52
China,Yunnan,Human,1917,10,329,59405,33,16,18
China,Sichuan,Deforestation,1917,10,348,93998,37,85,2
India,Madhya Pradesh,Unknown,1917,8,269,47474,38,64,36
India,Assam,Unknown,1917,10,287,50351,15,89,50
Turkey,Mugla,Deforestation,1918,9,133,18029,46,66,19
Turkey,Antalya,Unknown,1918,10,420,7294,32,43,50
Turkey,Izmir,Lightning,1918,9,86,26283,21,40,19
Spain,Catalonia,Human,1918,8,42,14366,23,76,52
Spain,Andalusia,Unknown,1918,7,86,51688,44,8,40
USA,California,Unknown,1918,8,452,80380,26,70,23
USA,Texas,Unknown,1918,8,385,92937,29,92,2
USA,Oregon,Lightning,1918,5,355,96495,19,54,43
Brazil,Amazonas,Lightning,1918,10,384,87023,16,78,18
Brazil,Mato Grosso,Human,1918,8,331,33185,45,38,46
Greece,Athens,Lightning,1918,6,183,8161,29,82,51
Greece,Crete,Lightning,1918,9,420,88678,17,80,49
Australia,New South Wales,Lightning,1918,5,11,75120,18,14,18
Australia,Victoria,Climate Change,1918,8,138,57142,46,78,10
Portugal,Lisbon,Climate Change,1918,7,209,43830,38,8,25
Portugal,Porto,Climate Change,1918,7,487,89180,49,60,41
Italy,Sicily,Climate Change,1918,9,328,91025,41,10,18
Italy,Sardinia,Deforestation,1918,8,236,54612,31,6,53
Russia,Siberia,Deforestation,1918,6,312,78094,40,26,56
Russia,Far East,Lightning,1918,7,231,93727,26,92,40
Canada,British Columbia,Climate Change,1918,9,301,63388,26,17,58
Canada,Alberta,Climate Change,1918,10,340,99043,49,7,6
France,Corsica,Climate Change,1918,6,15,75745,24,38,68
France,Provence,Human,1918,7,241,99497,46,24,58
China,Yunnan,Human,1918,6,438,14899,26,75,40
China,Sichuan,Climate Change,1918,5,49,43433,37,74,39
India,Madhya Pradesh,Human,1918,6,218,83895,29,76,38
India,Assam,Lightning,1918,5,56,85881,19,22,39
Turkey,Mugla,Deforestation,1919,10,377,14216,45,68,11
Turkey,Antalya,Human,1919,6,127,90298,30,58,36
Turkey,Izmir,Climate Change,1919,6,160,92609,30,63,54
Spain,Catalonia,Climate Change,1919,9,152,73595,41,62,28
Spain,Andalusia,Lightning,1919,6,132,65130,19,91,54
USA,California,Deforestation,1919,6,52,65986,23,68,55
USA,Texas,Unknown,1919,9,183,89226,17,68,30
USA,Oregon,Lightning,1919,8,15,71876,25,31,22
Brazil,Amazonas,Deforestation,1919,10,50,37029,25,86,66
Brazil,Mato Grosso,Unknown,1919,7,295,43778,15,29,44
Greece,Athens,Deforestation,1919,10,88,2086,16,86,65
Greece,Crete,Lightning,1919,6,73,63845,45,14,37
Australia,New South Wales,Human,1919,10,89,65684,17,78,6
Australia,Victoria,Climate Change,1919,10,222,71456,40,30,6
Portugal,Lisbon,Human,1919,10,275,98526,30,41,4
Portugal,Porto,Deforestation,1919,8,51,66160,35,70,55
Italy,Sicily,Lightning,1919,7,170,11453,39,15,9
Italy,Sardinia,Climate Change,1919,5,121,80803,22,67,65
Russia,Siberia,Lightning,1919,8,268,40093,43,13,16
Russia,Far East,Climate Change,1919,10,158,26093,30,40,38
Canada,British Columbia,Climate Change,1919,10,331,62988,30,32,49
Canada,Alberta,Climate Change,1919,10,163,30833,47,77,30
France,Corsica,Unknown,1919,7,309,38926,42,76,6
France,Provence,Human,1919,6,139,13063,41,62,47
China,Yunnan,Climate Change,1919,6,29,97452,41,5,43
China,Sichuan,Deforestation,1919,8,157,79072,20,62,54
India,Madhya Pradesh,Lightning,1919,6,318,79029,26,26,38
India,Assam,Unknown,1919,8,107,86651,15,69,2
Turkey,Mugla,Human,1920,9,120,78672,17,50,56
Turkey,Antalya,Unknown,1920,7,220,5177,40,81,66
Turkey,Izmir,Unknown,1920,6,39,50811,30,20,60
Spain,Catalonia,Human,1920,5,247,95219,48,15,66
Spain,Andalusia,Deforestation,1920,6,119,50855,19,17,11
USA,California,Human,1920,7,470,58949,37,75,60
USA,Texas,Human,1920,7,208,11901,29,6,33
USA,Oregon,Climate Change,1920,8,280,10837,46,32,2
Brazil,Amazonas,Unknown,1920,8,60,98950,39,84,59
Brazil,Mato Grosso,Deforestation,1920,7,69,60840,36,92,54
Greece,Athens,Unknown,1920,8,168,92327,32,54,42
Greece,Crete,Unknown,1920,6,26,1144,43,58,18
Australia,New South Wales,Human,1920,8,163,39490,16,52,15
Australia,Victoria,Lightning,1920,7,357,21702,34,6,42
Portugal,Lisbon,Lightning,1920,7,127,40264,30,8,13
Portugal,Porto,Unknown,1920,9,395,24945,49,9,33
Italy,Sicily,Climate Change,1920,6,175,30644,23,53,34
Italy,Sardinia,Human,1920,8,104,59125,43,82,26
Russia,Siberia,Climate Change,1920,10,124,49933,29,8,58
Russia,Far East,Deforestation,1920,5,176,60746,28,7,63
Canada,British Columbia,Lightning,1920,6,324,26128,32,62,21
Canada,Alberta,Human,1920,6,116,93244,27,72,53
France,Corsica,Lightning,1920,9,12,29583,19,73,32
France,Provence,Human,1920,9,141,9347,17,34,30
China,Yunnan,Climate Change,1920,7,478,84764,44,13,27
China,Sichuan,Unknown,1920,6,66,62054,39,55,14
India,Madhya Pradesh,Human,1920,8,167,76186,16,65,42
India,Assam,Lightning,1920,8,68,81999,46,86,59
Turkey,Mugla,Deforestation,1921,6,304,867,39,38,31
Turkey,Antalya,Deforestation,1921,10,378,40602,27,7,27
Turkey,Izmir,Climate Change,1921,5,130,65019,20,47,61
Spain,Catalonia,Human,1921,6,309,43823,16,15,19
Spain,Andalusia,Unknown,1921,9,104,99019,36,57,60
USA,California,Climate Change,1921,10,118,82510,44,12,58
USA,Texas,Human,1921,5,119,81271,33,9,28
USA,Oregon,Deforestation,1921,6,31,49953,43,43,61
Brazil,Amazonas,Climate Change,1921,5,293,24630,33,20,24
Brazil,Mato Grosso,Climate Change,1921,6,356,37487,42,73,50
Greece,Athens,Climate Change,1921,6,137,35890,42,37,24
Greece,Crete,Lightning,1921,5,239,12405,44,30,17
Australia,New South Wales,Lightning,1921,9,43,19460,15,42,3
Australia,Victoria,Lightning,1921,5,138,27281,38,22,28
Portugal,Lisbon,Lightning,1921,5,76,13375,31,66,30
Portugal,Porto,Lightning,1921,6,74,80121,26,18,23
Italy,Sicily,Lightning,1921,7,155,95435,39,17,11
Italy,Sardinia,Human,1921,9,187,49502,29,56,3
Russia,Siberia,Deforestation,1921,5,273,74053,48,39,4
Russia,Far East,Human,1921,6,124,7710,33,71,6
Canada,British Columbia,Unknown,1921,7,143,32988,19,5,64
Canada,Alberta,Human,1921,9,214,57776,16,41,46
France,Corsica,Deforestation,1921,7,410,33223,43,39,16
France,Provence,Human,1921,8,355,47757,30,78,50
China,Yunnan,Lightning,1921,7,262,50490,45,30,30
China,Sichuan,Human,1921,7,338,77667,15,57,68
India,Madhya Pradesh,Human,1921,10,350,28661,37,25,66
India,Assam,Deforestation,1921,9,287,40397,20,48,29
Turkey,Mugla,Deforestation,1922,9,21,68322,17,80,67
Turkey,Antalya,Climate Change,1922,10,218,35130,23,89,12
Turkey,Izmir,Lightning,1922,9,103,29780,38,35,34
Spain,Catalonia,Deforestation,1922,10,178,5896,42,64,32
Spain,Andalusia,Human,1922,7,347,29925,41,6,22
USA,California,Climate Change,1922,6,393,35607,35,24,62
USA,Texas,Human,1922,10,152,75861,16,36,27
USA,Oregon,Human,1922,10,173,87462,15,55,6
Brazil,Amazonas,Human,1922,9,407,77807,49,80,6
Brazil,Mato Grosso,Deforestation,1922,6,282,4892,34,35,34
Greece,Athens,Lightning,1922,6,216,57951,26,81,40
Greece,Crete,Unknown,1922,5,434,14691,23,91,51
Australia,New South Wales,Lightning,1922,9,192,80478,29,40,64
Australia,Victoria,Human,1922,9,218,81203,24,28,50
Portugal,Lisbon,Lightning,1922,6,267,29287,19,64,56
Portugal,Porto,Climate Change,1922,7,478,87680,28,83,50
Italy,Sicily,Human,1922,5,157,89976,37,61,59
Italy,Sardinia,Deforestation,1922,10,97,63745,27,86,24
Russia,Siberia,Lightning,1922,10,242,56196,23,37,33
Russia,Far East,Deforestation,1922,9,442,79988,41,74,35
Canada,British Columbia,Lightning,1922,8,413,40743,24,92,12
Canada,Alberta,Climate Change,1922,7,404,23869,44,84,8
France,Corsica,Unknown,1922,7,20,67083,49,25,51
France,Provence,Human,1922,7,232,23635,46,45,7
China,Yunnan,Lightning,1922,7,408,98044,23,57,62
China,Sichuan,Human,1922,10,263,92215,15,74,46
India,Madhya Pradesh,Climate Change,1922,6,435,10802,40,18,55
India,Assam,Deforestation,1922,10,259,89730,45,33,18
Turkey,Mugla,Climate Change,1923,10,236,3613,41,29,60
Turkey,Antalya,Lightning,1923,8,342,93320,23,68,21
Turkey,Izmir,Deforestation,1923,10,366,96441,44,57,64
Spain,Catalonia,Unknown,1923,7,291,44627,44,91,20
Spain,Andalusia,Deforestation,1923,8,19,29186,29,33,27
USA,California,Unknown,1923,8,134,53431,18,90,51
USA,Texas,Lightning,1923,10,283,32926,25,32,67
USA,Oregon,Deforestation,1923,7,140,75264,32,59,51
Brazil,Amazonas,Deforestation,1923,10,122,1837,23,15,64
Brazil,Mato Grosso,Unknown,1923,8,464,46257,25,43,26
Greece,Athens,Deforestation,1923,9,398,11534,36,25,61
Greece,Crete,Lightning,1923,8,496,56899,37,17,5
Australia,New South Wales,Human,1923,8,338,92203,49,25,59
Australia,Victoria,Deforestation,1923,6,357,89131,31,47,7
Portugal,Lisbon,Unknown,1923,10,210,43174,26,70,3
Portugal,Porto,Unknown,1923,9,341,18753,28,48,31
Italy,Sicily,Deforestation,1923,5,420,44113,38,10,28
Italy,Sardinia,Lightning,1923,6,348,57672,29,79,25
Russia,Siberia,Unknown,1923,5,278,655,42,75,24
Russia,Far East,Lightning,1923,9,166,59374,49,46,29
Canada,British Columbia,Lightning,1923,7,214,7473,42,28,9
Canada,Alberta,Unknown,1923,6,122,39320,41,9,50
France,Corsica,Lightning,1923,6,290,96683,48,11,41
France,Provence,Unknown,1923,8,427,97569,28,57,5
China,Yunnan,Human,1923,6,470,50639,21,32,68
China,Sichuan,Lightning,1923,8,227,59858,34,87,12
India,Madhya Pradesh,Climate Change,1923,7,475,93034,21,38,20
India,Assam,Climate Change,1923,6,13,58508,39,82,26
Turkey,Mugla,Deforestation,1924,7,43,58803,24,67,69
Turkey,Antalya,Unknown,1924,7,151,63330,35,82,34
Turkey,Izmir,Deforestation,1924,6,343,22401,32,79,49
Spain,Catalonia,Deforestation,1924,6,208,28569,43,6,3
Spain,Andalusia,Unknown,1924,9,229,66373,22,64,7
USA,California,Deforestation,1924,8,131,12278,15,37,41
USA,Texas,Human,1924,9,277,76769,48,13,36
USA,Oregon,Climate Change,1924,6,203,24114,34,29,68
Brazil,Amazonas,Lightning,1924,8,194,24602,36,15,49
Brazil,Mato Grosso,Climate Change,1924,7,167,70292,41,44,35
Greece,Athens,Human,1924,8,387,55668,30,13,34
Greece,Crete,Lightning,1924,8,117,33272,35,73,11
Australia,New South Wales,Human,1924,10,252,86230,27,69,21
Australia,Victoria,Lightning,1924,5,243,96657,23,71,12
Portugal,Lisbon,Human,1924,8,398,25596,39,15,63
Portugal,Porto,Climate Change,1924,10,168,36490,40,82,57
Italy,Sicily,Climate Change,1924,5,60,80871,44,16,36
Italy,Sardinia,Deforestation,1924,9,184,5634,37,72,53
Russia,Siberia,Human,1924,10,481,81435,43,68,13
Russia,Far East,Lightning,1924,7,59,27297,23,81,56
Canada,British Columbia,Human,1924,8,349,56847,16,17,32
Canada,Alberta,Unknown,1924,9,118,94591,41,19,34
France,Corsica,Climate Change,1924,8,174,46319,23,27,15
France,Provence,Climate Change,1924,7,157,83376,45,58,6
China,Yunnan,Human,1924,9,160,69006,49,51,39
China,Sichuan,Climate Change,1924,7,66,91344,36,12,53
India,Madhya Pradesh,Human,1924,7,293,47185,26,31,9
India,Assam,Human,1924,8,366,24032,43,24,17
Turkey,Mugla,Climate Change,1925,5,212,81526,43,94,32
Turkey,Antalya,Human,1925,8,448,19887,29,77,40
Turkey,Izmir,Lightning,1925,6,180,47036,29,10,44
Spain,Catalonia,Human,1925,8,167,49477,19,86,17
Spain,Andalusia,Lightning,1925,5,100,29665,36,35,11
USA,California,Unknown,1925,5,336,9816,20,24,6
USA,Texas,Climate Change,1925,5,318,36638,30,58,47
USA,Oregon,Deforestation,1925,10,196,91755,34,55,40
Brazil,Amazonas,Deforestation,1925,9,182,73989,47,35,55
Brazil,Mato Grosso,Lightning,1925,8,38,10581,37,50,57
Greece,Athens,Deforestation,1925,10,477,11040,34,38,45
Greece,Crete,Lightning,1925,8,162,74654,49,88,19
Australia,New South Wales,Deforestation,1925,9,112,47422,37,36,11
Australia,Victoria,Deforestation,1925,7,362,17321,48,21,55
Portugal,Lisbon,Lightning,1925,8,217,86438,33,51,7
Portugal,Porto,Deforestation,1925,6,184,13331,26,14,56
Italy,Sicily,Climate Change,1925,5,53,77575,38,59,26
Italy,Sardinia,Human,1925,6,213,27328,21,28,12
Russia,Siberia,Unknown,1925,5,16,57478,42,61,14
Russia,Far East,Human,1925,7,494,51528,26,38,32
Canada,British Columbia,Climate Change,1925,9,132,7969,45,6,16
Canada,Alberta,Unknown,1925,5,79,26245,25,33,67
France,Corsica,Climate Change,1925,9,20,42506,31,25,45
France,Provence,Climate Change,1925,8,23,5162,16,45,62
China,Yunnan,Deforestation,1925,6,75,99018,20,33,67
China,Sichuan,Human,1925,7,328,17833,42,34,26
India,Madhya Pradesh,Deforestation,1925,5,131,41252,20,22,11
India,Assam,Climate Change,1925,8,143,46512,34,69,53
Turkey,Mugla,Deforestation,1926,7,470,73804,31,59,37
Turkey,Antalya,Human,1926,9,414,37784,36,29,3
Turkey,Izmir,Unknown,1926,10,393,94055,20,25,27
Spain,Catalonia,Unknown,1926,8,165,80241,31,25,47
Spain,Andalusia,Unknown,1926,10,276,45787,43,12,4
USA,California,Lightning,1926,5,279,47556,29,90,23
USA,Texas,Climate Change,1926,10,117,64900,40,81,28
USA,Oregon,Deforestation,1926,5,388,90022,44,52,64
Brazil,Amazonas,Unknown,1926,10,16,62719,43,47,18
Brazil,Mato Grosso,Unknown,1926,5,345,82076,25,61,44
Greece,Athens,Climate Change,1926,7,190,26972,20,69,7
Greece,Crete,Human,1926,6,26,21452,29,94,52
Australia,New South Wales,Deforestation,1926,10,257,54313,15,64,47
Australia,Victoria,Deforestation,1926,8,446,2863,26,46,40
Portugal,Lisbon,Human,1926,7,296,1687,27,22,42
Portugal,Porto,Human,1926,6,188,71419,45,59,11
Italy,Sicily,Deforestation,1926,8,390,36169,45,74,68
Italy,Sardinia,Unknown,1926,7,275,79568,42,14,39
Russia,Siberia,Lightning,1926,5,54,11349,32,92,3
Russia,Far East,Lightning,1926,8,486,7933,19,15,66
Canada,British Columbia,Deforestation,1926,6,380,86884,16,89,21
Canada,Alberta,Unknown,1926,9,475,2296,26,26,21
France,Corsica,Human,1926,6,133,34177,38,18,37
France,Provence,Unknown,1926,9,207,90235,45,59,25
China,Yunnan,Human,1926,9,156,29477,25,55,36
China,Sichuan,Human,1926,7,33,40200,42,33,44
India,Madhya Pradesh,Lightning,1926,7,142,3358,28,80,48
India,Assam,Lightning,1926,6,354,15875,46,30,2
Turkey,Mugla,Lightning,1927,9,126,32973,31,34,53
Turkey,Antalya,Lightning,1927,7,397,15993,15,77,54
Turkey,Izmir,Climate Change,1927,7,360,61707,18,13,23
Spain,Catalonia,Deforestation,1927,6,208,82893,23,10,49
Spain,Andalusia,Climate Change,1927,10,243,93290,30,5,38
USA,California,Human,1927,7,169,3296,40,90,63
USA,Texas,Unknown,1927,9,385,28325,32,78,25
USA,Oregon,Climate Change,1927,8,41,77500,32,92,67
Brazil,Amazonas,Human,1927,5,62,99894,42,39,11
Brazil,Mato Grosso,Human,1927,5,46,12984,29,61,23
Greece,Athens,Unknown,1927,5,219,5290,39,10,35
Greece,Crete,Human,1927,5,64,72672,47,55,61
Australia,New South Wales,Human,1927,10,297,80965,43,62,15
Australia,Victoria,Lightning,1927,8,424,60248,35,32,69
Portugal,Lisbon,Deforestation,1927,10,212,45871,43,86,11
Portugal,Porto,Human,1927,6,171,18485,35,69,16
Italy,Sicily,Unknown,1927,8,192,97696,24,91,35
Italy,Sardinia,Lightning,1927,8,114,57988,24,58,66
Russia,Siberia,Human,1927,9,5,13544,42,27,18
Russia,Far East,Deforestation,1927,5,358,3056,42,46,62
Canada,British Columbia,Human,1927,7,324,39810,23,14,9
Canada,Alberta,Lightning,1927,9,209,6558,19,74,31
France,Corsica,Human,1927,5,463,52343,16,41,2
France,Provence,Lightning,1927,8,360,38041,39,7,10
China,Yunnan,Lightning,1927,10,219,52783,48,47,23
China,Sichuan,Lightning,1927,10,246,36069,46,20,2
India,Madhya Pradesh,Climate Change,1927,9,76,36245,29,57,45
India,Assam,Lightning,1927,6,50,46504,33,42,12
Turkey,Mugla,Unknown,1928,9,303,19831,35,86,58
Turkey,Antalya,Lightning,1928,6,334,9669,44,77,32
Turkey,Izmir,Climate Change,1928,6,251,7712,20,82,69
Spain,Catalonia,Human,1928,6,115,10195,33,55,64
Spain,Andalusia,Human,1928,9,335,20531,25,75,27
USA,California,Lightning,1928,10,349,12918,37,51,14
USA,Texas,Human,1928,5,326,10021,42,81,36
USA,Oregon,Climate Change,1928,5,465,84866,46,58,60
Brazil,Amazonas,Lightning,1928,5,116,13641,42,41,66
Brazil,Mato Grosso,Unknown,1928,5,334,2586,49,14,48
Greece,Athens,Climate Change,1928,7,274,70127,31,84,36
Greece,Crete,Human,1928,6,335,48480,17,33,19
Australia,New South Wales,Human,1928,8,243,35333,45,62,43
Australia,Victoria,Human,1928,6,132,9525,33,76,9
Portugal,Lisbon,Human,1928,7,455,50511,31,18,10
Portugal,Porto,Climate Change,1928,10,354,81967,46,15,21
Italy,Sicily,Deforestation,1928,7,57,93393,22,8,28
Italy,Sardinia,Unknown,1928,8,428,87186,41,89,53
Russia,Siberia,Climate Change,1928,8,328,88814,23,8,49
Russia,Far East,Unknown,1928,6,106,61360,33,92,59
Canada,British Columbia,Lightning,1928,8,249,35493,36,81,59
Canada,Alberta,Unknown,1928,5,229,17376,29,37,18
France,Corsica,Deforestation,1928,10,450,10992,30,70,44
France,Provence,Unknown,1928,8,7,9952,34,20,60
China,Yunnan,Deforestation,1928,9,181,33825,47,34,60
China,Sichuan,Unknown,1928,8,19,21429,37,82,46
India,Madhya Pradesh,Unknown,1928,10,467,93482,25,33,63
India,Assam,Human,1928,5,56,12313,33,70,23
Turkey,Mugla,Human,1929,8,37,32683,23,61,6
Turkey,Antalya,Climate Change,1929,9,349,99947,29,69,23
Turkey,Izmir,Unknown,1929,7,106,44913,32,86,68
Spain,Catalonia,Human,1929,6,53,38474,41,61,28
Spain,Andalusia,Deforestation,1929,7,117,86248,43,19,31
USA,California,Lightning,1929,8,425,69772,16,27,24
USA,Texas,Human,1929,7,473,77299,27,32,28
USA,Oregon,Human,1929,7,324,7319,15,22,64
Brazil,Amazonas,Climate Change,1929,7,397,66288,29,47,45
Brazil,Mato Grosso,Unknown,1929,10,200,54011,24,24,13
Greece,Athens,Unknown,1929,10,406,51905,34,29,13
Greece,Crete,Human,1929,9,285,21614,39,53,15
Australia,New South Wales,Deforestation,1929,5,213,94588,22,73,6
Australia,Victoria,Human,1929,5,487,24822,44,54,17
Portugal,Lisbon,Human,1929,5,390,73841,40,62,17
Portugal,Porto,Climate Change,1929,6,435,1295,38,59,16
Italy,Sicily,Lightning,1929,7,76,32261,41,78,24
Italy,Sardinia,Lightning,1929,8,402,66008,43,69,69
Russia,Siberia,Human,1929,5,373,76221,37,68,33
Russia,Far East,Unknown,1929,8,211,50032,16,23,25
Canada,British Columbia,Deforestation,1929,9,92,65646,36,19,11
Canada,Alberta,Unknown,1929,5,415,94892,42,69,18
France,Corsica,Climate Change,1929,8,142,63394,43,86,48
France,Provence,Unknown,1929,10,235,38740,28,48,55
China,Yunnan,Lightning,1929,8,339,21634,24,14,40
China,Sichuan,Deforestation,1929,8,162,37512,29,89,53
India,Madhya Pradesh,Unknown,1929,9,60,6575,23,27,64
India,Assam,Unknown,1929,9,321,68875,36,28,52
Turkey,Mugla,Human,1930,6,222,1345,30,26,58
Turkey,Antalya,Lightning,1930,10,367,68149,40,76,31
Turkey,Izmir,Human,1930,10,238,15182,23,35,10
Spain,Catalonia,Deforestation,1930,9,190,26854,47,25,65
Spain,Andalusia,Climate Change,1930,8,294,83206,35,36,53
USA,California,Climate Change,1930,7,229,4607,48,68,20
USA,Texas,Unknown,1930,7,386,62322,23,88,39
USA,Oregon,Climate Change,1930,6,214,33471,23,57,57
Brazil,Amazonas,Unknown,1930,7,202,34481,38,17,44
Brazil,Mato Grosso,Climate Change,1930,8,55,90998,41,87,25
Greece,Athens,Lightning,1930,6,177,75007,43,21,69
Greece,Crete,Climate Change,1930,8,497,69854,18,78,26
Australia,New South Wales,Human,1930,7,115,11109,39,53,27
Australia,Victoria,Lightning,1930,7,31,68284,15,65,4
Portugal,Lisbon,Deforestation,1930,8,301,47880,29,12,39
Portugal,Porto,Lightning,1930,6,343,61458,24,82,50
Italy,Sicily,Climate Change,1930,5,343,70529,45,75,32
Italy,Sardinia,Lightning,1930,8,254,45898,37,52,41
Russia,Siberia,Unknown,1930,10,42,82700,41,79,58
Russia,Far East,Deforestation,1930,5,248,45482,29,17,12
Canada,British Columbia,Unknown,1930,8,369,57021,38,77,5
Canada,Alberta,Lightning,1930,5,50,15963,30,37,11
France,Corsica,Unknown,1930,5,191,96898,17,59,15
France,Provence,Unknown,1930,6,221,13413,38,31,38
China,Yunnan,Lightning,1930,10,226,22794,15,8,30
China,Sichuan,Lightning,1930,5,261,80718,36,15,60
India,Madhya Pradesh,Lightning,1930,10,341,3847,35,17,10
India,Assam,Human,1930,7,463,61609,20,81,57
Turkey,Mugla,Deforestation,1931,10,297,96018,28,51,59
Turkey,Antalya,Lightning,1931,8,292,37189,24,85,31
Turkey,Izmir,Human,1931,9,64,97776,15,37,39
Spain,Catalonia,Deforestation,1931,5,414,41520,42,37,42
Spain,Andalusia,Human,1931,10,61,89620,15,16,7
USA,California,Human,1931,5,453,60284,46,7,50
USA,Texas,Climate Change,1931,7,320,98382,16,77,57
USA,Oregon,Unknown,1931,5,448,75217,31,53,61
Brazil,Amazonas,Deforestation,1931,8,438,72422,18,85,51
Brazil,Mato Grosso,Human,1931,9,50,66829,30,15,21
Greece,Athens,Lightning,1931,10,284,736,15,92,18
Greece,Crete,Climate Change,1931,10,93,95807,29,55,28
Australia,New South Wales,Lightning,1931,10,78,2208,45,16,47
Australia,Victoria,Climate Change,1931,5,241,12102,35,78,8
Portugal,Lisbon,Human,1931,8,479,72599,45,79,37
Portugal,Porto,Human,1931,10,314,46810,25,34,23
Italy,Sicily,Deforestation,1931,9,47,82899,41,41,47
Italy,Sardinia,Climate Change,1931,5,39,78567,40,23,46
Russia,Siberia,Unknown,1931,6,154,30882,15,48,44
Russia,Far East,Climate Change,1931,9,326,8180,23,81,62
Canada,British Columbia,Deforestation,1931,7,6,98475,27,61,68
Canada,Alberta,Human,1931,10,145,17782,33,58,62
France,Corsica,Deforestation,1931,6,182,35157,45,37,12
France,Provence,Climate Change,1931,5,258,45539,28,57,20
China,Yunnan,Deforestation,1931,5,127,40509,23,54,13
China,Sichuan,Deforestation,1931,10,378,74823,17,62,56
India,Madhya Pradesh,Lightning,1931,5,149,52234,18,59,46
India,Assam,Deforestation,1931,8,261,2680,35,56,44
Turkey,Mugla,Human,1932,8,71,65632,46,14,65
Turkey,Antalya,Unknown,1932,9,72,14360,18,83,18
